,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,SERIE_ANO,CIÊNCIAS,LÍNGUA PORTUGUESA,MATEMÁTICA,MAT_PT_TOTAL
77,AMADEU AMARAL,35001466,422.0,480.0,21.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,422.0,547.0,969.0,0.0,0.0,2,1,LARGO SAO JOSE DO BELEM,66,LARGO,BELENZINHO,3057040,-23.5413956,-46.5949461,EM-3ª série,"291,5",275.6,279.6,555.2
78,PAULO LUIG FREI,35001521,353.0,92.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,452.0,446.0,898.0,0.0,0.0,2,1,CARLOS DE CAMPOS,841,AVENIDA,PARI,3028001,-23.525375,-46.6107523,EM-3ª série,262,255.5,267.5,523.0
79,OSWALDO CRUZ,35001569,289.0,314.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,468.0,470.0,938.0,0.0,0.0,2,1,RUA DA MOOCA,2183,RUA,MOOCA,3103003,-23.5548677,-46.6038925,EM-3ª série,"287,4",280.3,274.6,554.9000000000001
80,ORESTES GUIMARAES,35001570,575.0,395.0,17.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,713.0,764.0,1477.0,0.0,0.0,2,1,CANINDE,153,,CANINDE,3033000,-23.5326517,-46.6240241,EM-3ª série,"258,7",258.6,258.7,517.3
81,PLINIO BARRETO,35001600,302.0,372.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,356.0,373.0,729.0,0.0,0.0,2,1,SIQUEIRA BUENO,2123,RUA,BELENZINHO,3173010,-23.5541354,-46.5825115,EM-3ª série,"284,8",277.7,278.9,556.5999999999999
82,WOLNY CARVALHO RAMOS PROFESSOR,35001624,676.0,899.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,851.0,802.0,1653.0,0.0,39.0,2,1,BOM JESUS,909,RUA,VILA REGENTE FEIJO,3344000,-23.5635061,-46.5699265,EM-3ª série,"281,7",274.9,276.5,551.4
83,ANCHIETA PADRE,35001659,546.0,716.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,667.0,686.0,1353.0,0.0,0.0,2,1,RUA VISCONDE DE ABAETE,154,RUA,BRAS,3012050,-23.54007831,-46.61359158,EM-3ª série,"270,2",262.2,270.8,533.0
84,MMDC,35001661,311.0,236.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,278.0,283.0,561.0,0.0,216.0,2,1,CUIABA,667,RUA,ALTO DA MOOCA,3183001,-23.56047,-46.5905499,EM-3ª série,"301,8",298.8,293.9,592.7
85,MARIA DA GLORIA COSTA E SILVA PROFESSORA,35001673,327.0,501.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,516.0,602.0,780.0,338.0,0.0,2,1,RUA DOUTOR MONTEIRO DE BARROS,110,RUA,VILA ELZE,3254120,-23.6078798,-46.5275768,EM-3ª série,"272,5",266.4,264.9,531.3
86,MARIO CASASSANTA PROFESSOR,35001685,114.0,73.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,87.0,107.0,194.0,0.0,65.0,2,1,RUA PARAMU,693,RUA,VILA ALPINA,3147100,-23.5941829,-46.565997,EM-3ª série,"268,1",219.3,228.7,448.0
87,MARIO MARQUES DE OLIVEIRA PROFESSOR,35001703,5.0,1529.0,20.0,13.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,905.0,889.0,1295.0,499.0,32.0,2,1,BUENOPOLIS,234,RUA,VILA SANTA CLARA,3161010,-23.5758869,-46.564625,EM-3ª série,"284,5",272.8,276.9,549.7
88,VICTOR MIGUEL ROMANO PROF,35001727,440.0,621.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,735.0,720.0,1138.0,317.0,0.0,2,1,SAPOPEMBA,7763,AVENIDA,JARDIM ADUTORA,3988010,-23.5958269,-46.5238459,EM-3ª série,"260,3",260.0,256.5,516.5
89,STEFAN ZWEIG,35001740,224.0,120.0,10.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,158.0,200.0,358.0,0.0,116.0,2,1,GENARO ARILA ARENSANZ,225,RUA,VILA IVONE,3275090,-23.579104,-46.5545608,EM-3ª série,"291,8",230.9,245.6,476.5
90,AROLDO DE AZEVEDO PROF,35001752,547.0,1258.0,20.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1202.0,1192.0,1724.0,670.0,46.0,2,1,FILIPA ALVARES,SN,RUA,JARDIM PLANALTO,3984020,-23.605812,-46.5101628,EM-3ª série,"274,3",268.2,260.8,529.0
91,SECUNDINO DOMINGUES FILHO DOUTOR,35001776,258.0,196.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,363.0,358.0,721.0,0.0,20.0,2,1,SECUNDINO DOMINGUES,136,RUA,JARDIM INDEPENDENCIA,3223110,-23.5888876,-46.5596935,EM-3ª série,264,269.3,271.9,541.2
92,JOSE HEITOR CARUSI PROFESSOR,35001824,101.0,383.0,15.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,280.0,264.0,544.0,0.0,0.0,2,1,ROBERTO UGOLINI COMENDADOR,300,RUA,PARQUE DA MOOCA,3125010,-23.575643,-46.5884799,EM-3ª série,"278,8",278.2,276.6,554.8
93,FRANCISCO BORGES VIEIRA DOUTOR,35001843,134.0,590.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,468.0,465.0,678.0,255.0,1.0,2,1,RUA PARATINQUARA,67,RUA,VILA ALPINA,3209040,-23.5971746,-46.5584238,EM-3ª série,"254,2",256.0,257.3,513.3
94,AMERICO DE MOURA PROFESSOR,35001855,5.0,275.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,163.0,139.0,302.0,0.0,302.0,2,1,RUA MENDONCA CORTE REAL,SN,RUA,JARDIM AVELINO,3227110,-23.5840235,-46.5739147,EM-3ª série,"304,4",295.1,295.7,590.8
95,LUIZA MENDES CORREA SOUZA PROFESSORA,35001867,295.0,448.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,541.0,560.0,1101.0,0.0,1.0,2,1,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,5796,AVENIDA,PARQUE SAO LUCAS,3294100,-23.5920586,-46.5420881,EM-3ª série,"287,9",283.7,276.2,559.9
96,JOSE CHEDIAK,35001880,503.0,873.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,834.0,928.0,1195.0,567.0,83.0,2,1,ORATORIO,2320,AVENIDA,PARQUE SAO LUCAS,3220100,-23.5926539,-46.5472282,EM-3ª série,"276,1",275.9,279.1,555.0
97,CLEMENTE QUAGLIO PROFESSOR,35001910,109.0,94.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,93.0,119.0,212.0,0.0,95.0,2,1,MANUEL ONHA,234,RUA,VILA ORATORIO,3192100,-23.5729927,-46.5796289,EM-3ª série,"262,5",264.1,262.4,526.5
98,JOAQUIM BRAGA DE PAULA PROFESSOR,35001934,254.0,351.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,335.0,304.0,639.0,0.0,10.0,2,1,AVENIDA  DO ORATORIO,4330,AVENIDA,JARDIM GUAIRACA,3220200,-23.601844,-46.5321396,EM-3ª série,"273,4",267.6,262.0,529.6
99,JULIA MACEDO PANTOJA PROFESSORA,35001958,325.0,432.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,522.0,508.0,1030.0,0.0,4.0,2,1,ASSUPA,200,RUA,VILA PRUDENTE,3137050,-23.5798668,-46.576125,EM-3ª série,"292,1",284.5,280.5,565.0
100,NORBERTO MAYER FILHO DEPUTADO,35001961,298.0,301.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,437.0,374.0,632.0,179.0,11.0,2,1,MANUEL LUIS DE VERGUEIRO PADRE,365,RUA,VILA ANTONIETA,3476000,-23.5738803,-46.5162174,EM-3ª série,"285,7",283.1,288.8,571.9000000000001
101,MOACYR CAMPOS PROFESSOR,35001971,396.0,1169.0,8.0,82.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,882.0,870.0,1515.0,237.0,30.0,2,1,RIO DAS PEDRAS,2022,AVENIDA,JARDIM ARICANDUVA,3452100,-23.5707401,-46.507438,EM-3ª série,283,271.8,272.2,544.0
102,JOAO DIAS DA SILVEIRA PROFESSOR,35002008,10.0,635.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,374.0,359.0,733.0,0.0,8.0,2,1,SOUSA BREVES,80,RUA,VILA ZILDA,3069060,-23.5352751,-46.5638088,EM-3ª série,"292,9",287.7,281.4,569.0999999999999
103,AMELIA DE ARAUJO DONA,35002057,486.0,586.0,32.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,549.0,585.0,1134.0,0.0,5.0,2,1,VACANGA,415,RUA,VILA FERNANDES,3433025,-23.5604229,-46.531231,EM-3ª série,299,282.4,286.2,568.5999999999999
104,ARACY LEME DA VEIGA RAVACHE PROFESSORA,35002069,379.0,444.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,441.0,454.0,895.0,0.0,2.0,2,1,CANDIDO MENDES DE ALMEIDA,184,PRACA,JARDIM NOVO CARRAO,3908290,-23.5804513,-46.5076536,EM-3ª série,"267,6",268.9,262.6,531.5
105,CARAMURU,35002136,264.0,199.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,247.0,251.0,498.0,0.0,219.0,2,1,REGO BARROS,501,RUA,JARDIM VILA FORMOSA,3460000,-23.5639814,-46.5179941,EM-3ª série,"296,4",284.4,282.1,566.5
106,PAULO NOVAES DE CARVALHO PROFESSOR,35002148,278.0,430.0,11.0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,369.0,395.0,764.0,0.0,4.0,2,1,FRANCISCO MARENGO,475,RUA,TATUAPE,3313000,-23.541216,-46.5591103,EM-3ª série,"280,3",268.1,278.5,546.6
107,PEDRO ARBUES CORONEL,35002159,81.0,217.0,18.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,158.0,149.0,307.0,0.0,231.0,2,1,LUCINDA GOMES BARRETO,605,RUA,VILA NOVA MANCHESTER,3440040,-23.5459756,-46.5401533,EM-3ª série,"306,7",300.3,296.2,596.5
108,SALVADOR ROCCO PROFESSOR,35002161,270.0,303.0,28.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,310.0,316.0,626.0,0.0,1.0,2,1,RENATO RINALDI,31,RUA,VILA CARRAO,3426000,-23.5482981,-46.5451842,EM-3ª série,"275,5",253.8,267.7,521.5
109,JOAO BORGES PROFESSOR,35002173,564.0,623.0,29.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,620.0,611.0,1231.0,0.0,6.0,2,1,ITAPURA,976,RUA,VILA GOMES CARDIM,3310000,-23.5473192,-46.5663684,EM-3ª série,"272,3",259.4,277.3,536.7
110,IRENE DE LIMA PAIVA PROFESSORA,35002197,465.0,606.0,13.0,52.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,584.0,571.0,1155.0,0.0,28.0,2,1,LUTECIA,1966,RUA,VILA CARRAO,3423000,-23.5606211,-46.54136,EM-3ª série,"281,1",278.6,277.0,555.6
111,JOSE MARQUES DA CRUZ PROFESSOR,35002203,6.0,426.0,17.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,245.0,211.0,456.0,0.0,456.0,2,1,ARACE,563,RUA,VILA FORMOSA,3362050,-23.5617075,-46.5424026,EM-3ª série,"299,4",289.6,294.0,583.6
112,ALMERINDA RODRIGUES MELLO PROFESSORA,35002239,195.0,142.0,13.0,20.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,185.0,173.0,358.0,0.0,130.0,2,1,RUA REI ALBERTO DA BELGICA,571,RUA,CHACARA BELENZINHO,3381000,-23.5768645,-46.5341616,EM-3ª série,"266,9",264.9,254.6,519.5
113,ASCENDINO REIS PROFESSOR,35002252,15.0,1275.0,27.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,815.0,647.0,1115.0,347.0,5.0,2,1,TUIUTI,2865,RUA,TATUAPE,3307005,-23.5504945,-46.5726194,EM-3ª série,"261,6",266.5,270.4,536.9
114,OSWALDO CATALANO,35002264,6.0,1563.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1119.0,843.0,1467.0,495.0,82.0,2,1,FILIPE CAMARAO,350,RUA,TATUAPE,3065000,-23.5383279,-46.5791791,EM-3ª série,"281,2",274.0,274.4,548.4
115,ORVILLE DERBY,35002297,207.0,480.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,493.0,522.0,688.0,327.0,1.0,2,1,SAIGON,55,RUA,VILA FORMOSA,3360010,-23.5679091,-46.5438172,EM-3ª série,"269,9",257.4,262.7,520.0999999999999
116,SANTOS AMARO DA CRUZ PROFESSOR,35002318,726.0,855.0,13.0,74.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,875.0,869.0,1290.0,454.0,24.0,2,1,BARREIRA GRANDE,795,AVENIDA,JARDIM COLORADO,3386000,-23.584752,-46.527196,EM-3ª série,"268,9",254.3,255.6,509.9
117,PILAR GARCIA VIDAL DONA,35002331,675.0,568.0,10.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,629.0,660.0,1289.0,0.0,562.0,2,1,AGENOR CALDEIRA DINIZ PASTOR,48,RUA,JARDIM IMPERADOR ZONA LESTE,3935080,-23.5847444,-46.4986343,EM-3ª série,"257,3",241.0,250.3,491.3
118,LUIZ ANTONIO FRAGOSO PROF,35002409,2.0,149.0,15.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,206.0,208.0,325.0,89.0,10.0,2,1,ANTONIO ESTEVAO DE CARVALHO,1778,AVENIDA,CIDADE PATRIARCA,3540100,-23.5288143,-46.5069695,EM-3ª série,271,256.4,255.9,512.3
119,GABRIEL ORTIZ PROFESSOR,35002422,20.0,1814.0,10.0,16.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1021.0,995.0,1354.0,662.0,19.0,2,1,AMADOR BUENO DA VEIGA,2932,AVENIDA,PENHA DE FRANCA,3652000,-23.5226718,-46.5178675,EM-3ª série,266,265.0,267.1,532.1
120,JAMIL PEDRO SAWAYA PROF,35002434,380.0,213.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,333.0,608.0,0.0,202.0,2,1,PALMEIRINA,189,RUA,CIDADE PATRIARCA,3556010,-23.5413971,-46.5015361,EM-3ª série,"260,2",252.4,277.0,529.4
121,JOAO MARIA OGNO OSB DOM,35002461,213.0,390.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,320.0,380.0,700.0,0.0,0.0,2,1,MARIA CARLOTA,400,RUA,VILA ESPERANCA,3647000,-23.5249955,-46.5289497,EM-3ª série,"268,6",272.2,273.8,546.0
122,ZALINA ROLIM DONA,35002471,162.0,388.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,328.0,284.0,612.0,0.0,25.0,2,1,LUIS CARLOS DOUTOR,740,RUA,VILA ARICANDUVA,3505000,-23.5351548,-46.5441914,EM-3ª série,"272,5",262.5,258.4,520.9
123,NOSSA SENHORA DA PENHA,35002513,13.0,1490.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,968.0,763.0,1445.0,286.0,0.0,2,1,RUA PADRE BENEDITO DE CAMARGO,762,RUA,PENHA DE FRANCA,3604000,-23.5209892,-46.5478675,EM-3ª série,"293,2",281.4,279.8,561.2
124,ANTAO PADRE,35002525,370.0,401.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,530.0,563.0,826.0,267.0,0.0,2,1,RUA SANTO AFONSO,273,RUA,PENHA,3632020,-23.5285984,-46.5479278,EM-3ª série,"280,6",270.8,262.1,532.9000000000001
125,ADELAIDE FERRAZ DE OLIVEIRA PROFA,35002549,295.0,208.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,241.0,290.0,531.0,0.0,206.0,2,1,BENTO DO SAPUCAI SAO,677,RUA,VILA GUILHERMINA,3542050,-23.5326108,-46.5144325,EM-3ª série,"269,7",261.5,269.4,530.9
126,MARIA APARECIDA DE CASTRO MASIERO PROFESSORA,35002550,6.0,430.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,228.0,235.0,463.0,0.0,463.0,2,1,PANGAUA,210,RUA,VILA RE,3665010,-23.5298874,-46.4991124,EM-3ª série,"307,3",280.0,295.2,575.2
127,BARAO DE RAMALHO,35002586,510.0,579.0,22.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,610.0,611.0,1104.0,117.0,1.0,2,1,AMADOR BUENO DA VEIGA,604,AVENIDA,PENHA DE FRANCA,3636000,-23.5223929,-46.5385854,EM-3ª série,263,255.8,268.0,523.8
128,ASTOLFO ARAUJO DEPUTADO,35002598,208.0,193.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206.0,224.0,430.0,0.0,192.0,2,1,ITAQUERA,2417,AVENIDA,JARDIM MARINGA,3526000,-23.5505724,-46.4976348,EM-3ª série,"265,2",249.3,261.4,510.7
129,MARIA AUGUSTA DE AVILA PROFA,35002616,291.0,785.0,18.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,742.0,751.0,1070.0,423.0,19.0,2,1,FERNANDES PEREIRA,690,RUA,VILA SANTA TERESA ZONA LESTE,3565000,-23.540119,-46.4907252,EM-3ª série,"257,4",248.0,245.7,493.7
130,INFANTE DOM HENRIQUE,35002636,294.0,818.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,620.0,583.0,1203.0,0.0,20.0,2,1,TEODORO MASCARENHAS,133,RUA,VILA MATILDE,3515010,-23.5420244,-46.5314877,EM-3ª série,"264,8",266.3,266.7,533.0
131,JOSE PEREIRA DE QUEIROZ DR,35002641,2.0,582.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,335.0,324.0,659.0,0.0,0.0,2,1,PARANHOS,264,RUA,VILA NOVA SAVOIA,3532020,-23.543045,-46.5148461,EM-3ª série,"281,9",277.9,273.8,551.7
132,AFONSO PENNA JUNIOR PROF,35002653,227.0,351.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,304.0,324.0,628.0,0.0,9.0,2,1,MUANA,31,RUA,JARDIM MARINGA,3525090,-23.5520674,-46.5145448,EM-3ª série,"271,1",256.4,255.7,512.0999999999999
133,JOSE TALARICO,35002677,190.0,425.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,455.0,430.0,605.0,280.0,0.0,2,1,WALDEMAR CARLOS PEREIRA,452,AVENIDA,VILA TALARICO,3533000,-23.5437324,-46.5212502,EM-3ª série,"267,6",273.6,265.8,539.4000000000001
134,EXERCITO BRASILEIRO,35002689,2.0,388.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,217.0,272.0,489.0,0.0,51.0,2,1,REBELO DA SILVA,127,RUA,JARDIM SAO NICOLAU,3685050,-23.5262105,-46.4828798,EM-3ª série,"284,7",275.7,269.0,544.7
135,JOAO RAMACCIOTTI PROF,35002690,409.0,248.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,315.0,352.0,667.0,0.0,229.0,2,1,JOAO DORIVAL CARDOSO DOUTOR,189,RUA,PARQUE DAS PAINEIRAS,3694060,-23.5372932,-46.4813016,EM-3ª série,"302,3",292.1,265.7,557.8
136,VITAL FOGACA DE ALMEIDA DOUTOR,35002707,747.0,735.0,18.0,45.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,933.0,889.0,1332.0,490.0,0.0,2,1,MALACACHETA,118,RUA,JARDIM JAU ZONA LESTE,3713020,-23.5115,-46.546104,EM-3ª série,"279,2",259.4,260.3,519.7
137,CAETANO MIELE PROFESSOR,35002719,255.0,590.0,18.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,439.0,513.0,849.0,103.0,9.0,2,1,FRANCISCO DAMANTE,61,RUA,VILA LONDRINA,3731000,-23.5094022,-46.5344475,EM-3ª série,"278,1",272.2,267.0,539.2
138,IRENE BRANCO DA SILVA PROFESSORA,35002732,258.0,178.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,217.0,239.0,456.0,0.0,169.0,2,1,QUARUNAS,352,RUA,VILA RUI BARBOSA,3734220,-23.5122926,-46.5257745,EM-3ª série,"291,6",284.2,276.9,561.0999999999999
139,FILOMENA MATARAZZO CONDESSA,35002744,2.0,461.0,20.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,245.0,260.0,505.0,0.0,505.0,2,1,PARANAGUA,472,AVENIDA,ERMELINO MATARAZZO,3806000,-23.5017507,-46.4761619,EM-3ª série,"272,1",277.1,272.9,550.0
140,BENEDITA DE REZENDE PROFESSORA,35002773,660.0,685.0,32.0,52.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,658.0,787.0,1113.0,332.0,6.0,2,1,ASSIS RIBEIRO DOUTOR,8402,AVENIDA,ERMELINO MATARAZZO,3827000,-23.4856929,-46.4818624,EM-3ª série,"267,9",263.4,261.6,525.0
141,THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA,35002800,259.0,367.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,371.0,444.0,638.0,177.0,1.0,2,1,CONCEICAO DO CASTELO,64,RUA,BURGO PAULISTA,3681020,-23.5219329,-46.4880625,EM-3ª série,"262,6",254.6,252.0,506.6
142,SILVA PRADO DEPUTADO,35002811,623.0,870.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,889.0,1067.0,1358.0,598.0,0.0,2,1,LUIS ANTONIO RANTIN MOUTINHO ENGENHEIRO,296,RUA,JARDIM POPULAR,3672010,-23.5161569,-46.5036147,EM-3ª série,"282,1",268.0,268.5,536.5
143,ERMELINO MATARAZZO,35002835,354.0,348.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,505.0,473.0,681.0,297.0,3.0,2,1,ABEL TAVARES,SN,RUA,JARDIM BELEM,3810110,-23.4929101,-46.4705713,EM-3ª série,256,252.1,256.2,508.29999999999995
144,MIGUEL DE CERVANTES Y SAAVEDRA DOM,35002847,438.0,891.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,686.0,787.0,1071.0,402.0,0.0,2,1,CANDIDO MOTA,267,RUA,JARDIM PENHA,3759000,-23.5053207,-46.4947038,EM-3ª série,"266,5",260.6,259.6,520.2
145,MARIO KOZEL FILHO,35002859,667.0,625.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,980.0,1056.0,1370.0,666.0,0.0,2,1,TIETE,49,RUA,VILA SEABRA,8180410,-23.4925828,-46.407835,EM-3ª série,"258,5",245.2,247.0,492.2
146,ESTELA BORGES MORATO,35002860,26.0,580.0,9.0,72.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,765.0,731.0,1058.0,438.0,0.0,2,1,TUJUMIRIM,419,RUA,JARDIM HELENA,8081180,-23.4802018,-46.42021283,EM-3ª série,"277,6",269.8,261.2,531.0
147,CARLOS GOMES,35002902,603.0,701.0,28.0,104.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,683.0,667.0,1350.0,0.0,671.0,2,1,ANTONIO BERNARDO SILVESTRE,203,AVENIDA,VILA SAO SILVESTRE ZONA LESTE,8011390,-23.4981663,-46.444132,EM-3ª série,"289,2",278.1,281.6,559.7
148,DOM PEDRO I,35002914,5.0,1426.0,27.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,932.0,729.0,1366.0,295.0,42.0,2,1,AMERICO GOMES DA COSTA,59,RUA,VILA AMERICANA,8010120,-23.4944114,-46.4400106,EM-3ª série,285,279.0,270.9,549.9
149,ARMANDO GOMES DE ARAUJO PROF,35002926,381.0,566.0,18.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,633.0,660.0,899.0,394.0,0.0,2,1,ALFREDO MOREIRA PINTO,SN,RUA,VILA SIMONE,8110220,-23.5035352,-46.4007931,EM-3ª série,"280,5",270.6,262.0,532.6
150,JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF,35002963,508.0,540.0,16.0,67.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,554.0,582.0,776.0,360.0,1.0,2,1,ANDRE FURTADO DE MENDONCA,473,RUA,JARDIM ROMANO,8191260,-23.479647,-46.3847834,EM-3ª série,"257,6",254.3,251.0,505.3
151,MARIO REYS COMENDADOR,35002975,2.0,327.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,151.0,204.0,355.0,0.0,355.0,2,1,JERIBATUBA,102,RUA,PARADA XV DE NOVEMBRO,8246090,-23.5284056,-46.4370449,EM-3ª série,"282,7",279.7,270.2,549.9
152,SHINQUICHI AGARI,35002999,292.0,463.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,591.0,602.0,1193.0,0.0,11.0,2,1,JOAO MAXIMIANO MAFRA,351,RUA,VILA CURUCA,8030350,-23.5013065,-46.4214601,EM-3ª série,"296,4",278.4,282.7,561.0999999999999
153,DARIO DE QUEIROZ PROF,35003001,136.0,245.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,172.0,239.0,411.0,0.0,244.0,2,1,LUIS ATILIO ROSSI,75,RUA,CIDADE NITRO OPERARIA,8010440,-23.4947312,-46.4332505,EM-3ª série,293,285.3,274.4,559.7
154,ATAULPHO ALVES,35003037,151.0,583.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,584.0,633.0,808.0,409.0,1.0,2,1,MARIA SUSANO POLILO,485,RUA,VILA ROSARIA,8021300,-23.5024004,-46.4352738,EM-3ª série,"274,6",264.9,261.7,526.5999999999999
155,ELIZA RAQUEL MACEDO DE SOUZA PROFA,35003050,435.0,840.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,801.0,994.0,1173.0,622.0,40.0,2,1,DARCI MANO,97,RUA,VILA ODETE,8440400,-23.5347121,-46.4115382,EM-3ª série,"264,5",253.4,254.8,508.20000000000005
156,EMILIA DE PAIVA MEIRA PROFESSORA,35003062,628.0,821.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,767.0,826.0,1087.0,506.0,2.0,2,1,PORTO XAVIER,172,RUA,VILA CARMOSINA,8210170,-23.5410645,-46.454473,EM-3ª série,"253,7",248.1,248.0,496.1
