,NO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,COMPS_PER_STUDENT,STUDENTS_11_17
808,CR P CONV RAIO DE LUZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,74.0,82.0,156.0,0.0,0.0,4,1,PEDRO VITORATO,237,,JARDIM COLORADO,3387010,-23.58645359,-46.53049978,0.0,0.0
809,ALFREDO VIANELLO GREGORIO COMENDADOR,418.0,280.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,689.0,739.0,1016.0,412.0,0.0,2,1,RUA FELIPE DE VERAS,SN,RUA,JD SAO LUIS,5818260,-23.6650908,-46.7310871,0.02005730659025788,698.0
810,AMELIA KERR NOGUEIRA PROFESSORA,883.0,826.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1036.0,1090.0,1399.0,727.0,0.0,2,1,AVENIDA  DOS FUNCIONARIOS PUBLICOS,1355,AVENIDA,JARDIM HORIZONTE AZUL,4962000,-23.74086273,-46.78199966,0.005851375073142188,1709.0
811,CLARINA AMARAL GURGEL PROFA,34.0,0.0,5.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,252.0,261.0,513.0,0.0,0.0,2,1,IRARA BRANCA,SN,PRACA,JARDIM SHANGRILA ZONA SUL,4852006,-23.7588668,-46.6656979,0.14705882352941177,34.0
812,CR P CONV SAO PEDRO,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,80.0,160.0,0.0,0.0,4,1,JAIME TREIGER,150,A,PARQUE DO LAGO,4945070,-23.71664393,-46.77613148,0.0,0.0
813,CR P CONV SAO PEDRO,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,80.0,160.0,0.0,0.0,4,1,JAIME TREIGER,150,A,PARQUE DO LAGO,4945070,-23.4357,-46.7159,0.0,0.0
814,CR P CONV SAO PEDRO,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,80.0,160.0,0.0,0.0,4,1,JAIME TREIGER,150,A,PARQUE DO LAGO,4945070,-23.74576187,-46.66501185,0.0,0.0
815,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,119.0,0.0,0.0,4,1,DEPUTADO CANTIDIO SAMPAIO,6481,,VILA SOUZA,2860001,-23.71664393,-46.77613148,,0.0
816,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,119.0,0.0,0.0,4,1,DEPUTADO CANTIDIO SAMPAIO,6481,,VILA SOUZA,2860001,-23.4357,-46.7159,,0.0
817,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,119.0,0.0,0.0,4,1,DEPUTADO CANTIDIO SAMPAIO,6481,,VILA SOUZA,2860001,-23.74576187,-46.66501185,,0.0
818,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,66.0,124.0,0.0,0.0,4,1,VALENTIM LORENZETTI,951,,JARDIM SIPRAMAR,4851370,-23.71664393,-46.77613148,,0.0
819,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,66.0,124.0,0.0,0.0,4,1,VALENTIM LORENZETTI,951,,JARDIM SIPRAMAR,4851370,-23.4357,-46.7159,,0.0
820,CR P CONV SAO PEDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,66.0,124.0,0.0,0.0,4,1,VALENTIM LORENZETTI,951,,JARDIM SIPRAMAR,4851370,-23.74576187,-46.66501185,,0.0
821,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,108.0,225.0,0.0,0.0,4,1,DA CUMBICA,570,,CIDADE IPAVA,4947000,-23.72585833,-46.7513,,0.0
822,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,108.0,225.0,0.0,0.0,4,1,DA CUMBICA,570,,CIDADE IPAVA,4947000,-23.48151,-46.57959,,0.0
823,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,108.0,225.0,0.0,0.0,4,1,DA CUMBICA,570,,CIDADE IPAVA,4947000,-23.5305,-46.6525,,0.0
824,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,108.0,225.0,0.0,0.0,4,1,DA CUMBICA,570,,CIDADE IPAVA,4947000,-23.5965442,-46.4397738,,0.0
825,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,79.0,151.0,0.0,0.0,4,1,FRANCISCO PEIXOTO BIZERRA,1000,,JARDIM BRASIL,2222011,-23.72585833,-46.7513,,0.0
826,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,79.0,151.0,0.0,0.0,4,1,FRANCISCO PEIXOTO BIZERRA,1000,,JARDIM BRASIL,2222011,-23.48151,-46.57959,,0.0
827,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,79.0,151.0,0.0,0.0,4,1,FRANCISCO PEIXOTO BIZERRA,1000,,JARDIM BRASIL,2222011,-23.5305,-46.6525,,0.0
828,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,79.0,151.0,0.0,0.0,4,1,FRANCISCO PEIXOTO BIZERRA,1000,,JARDIM BRASIL,2222011,-23.5965442,-46.4397738,,0.0
829,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,60.0,115.0,0.0,0.0,4,1,VITORINO CARMILO,720,,BARRA FUNDA,1153000,-23.72585833,-46.7513,,0.0
830,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,60.0,115.0,0.0,0.0,4,1,VITORINO CARMILO,720,,BARRA FUNDA,1153000,-23.48151,-46.57959,,0.0
831,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,60.0,115.0,0.0,0.0,4,1,VITORINO CARMILO,720,,BARRA FUNDA,1153000,-23.5305,-46.6525,,0.0
832,CR P CONV SAGRADA FAMILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,60.0,115.0,0.0,0.0,4,1,VITORINO CARMILO,720,,BARRA FUNDA,1153000,-23.5965442,-46.4397738,,0.0
833,CR P CONV SAGRADA FAMILIA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,75.0,80.0,155.0,0.0,0.0,4,1,ABNER RIBEIRO BORGES,414,,JARDIM ROSELI,8380045,-23.72585833,-46.7513,0.0,0.0
834,CR P CONV SAGRADA FAMILIA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,75.0,80.0,155.0,0.0,0.0,4,1,ABNER RIBEIRO BORGES,414,,JARDIM ROSELI,8380045,-23.48151,-46.57959,0.0,0.0
835,CR P CONV SAGRADA FAMILIA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,75.0,80.0,155.0,0.0,0.0,4,1,ABNER RIBEIRO BORGES,414,,JARDIM ROSELI,8380045,-23.5305,-46.6525,0.0,0.0
836,CR P CONV SAGRADA FAMILIA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,75.0,80.0,155.0,0.0,0.0,4,1,ABNER RIBEIRO BORGES,414,,JARDIM ROSELI,8380045,-23.5965442,-46.4397738,0.0,0.0
837,VICENTE LEPORACE,351.0,542.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,545.0,579.0,911.0,213.0,8.0,2,1,JOAO ALVES TORRES,555,RUA,JARDIM DAS FLORES,4904120,-23.6739323,-46.7397492,0.008958566629339306,893.0
839,CR P CONV JOSE AVELINO,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,28.0,68.0,0.0,0.0,4,1,GUARUJA,45,,JARDIM GUARUJA,5877230,-23.6931117,-46.79123534,0.0,0.0
840,MARIA AMELIA BRAZ PROFA,269.0,219.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,336.0,333.0,487.0,182.0,6.0,2,1,AMADOR ARRAIS FREI,100,RUA,JARDIM SAO RAFAEL,4860050,-23.76068363,-46.71716865,0.03278688524590164,488.0
841,CR P CONV AMANHECER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123.0,135.0,258.0,0.0,0.0,4,1,PROFESSOR CIRO FORMICOLA,230,,PARQUE SAO RAFAEL,8311240,-23.62602672,-46.47032202,,0.0
843,CR P CONV EMANUEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,32.0,70.0,0.0,0.0,4,1,ZACHARIAS MOTTA FILHO,129,,JARDIM IGUATEMI,8380280,-23.6015674,-46.4428493,,0.0
845,HERBERT BALDUS,436.0,477.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,718.0,836.0,1093.0,461.0,0.0,2,1,CANCAO DA TERRA,100,RUA,JARDIM SAO BERNARDO,4844560,-23.7592305,-46.70449138,0.019715224534501644,913.0
846,JERONYMO MONTEIRO,24.0,0.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,268.0,260.0,528.0,0.0,0.0,2,1,JOAQUIM DOS SANTOS,539,RUA,JARDIM IMPERIAL,4823080,-23.7259878,-46.6986788,0.7083333333333334,24.0
847,ESC PART CIRCULAR E E I,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39.0,38.0,77.0,0.0,0.0,4,1,RUA MACHADO DE ASSIS,642,,VILA MARIANA,4106000,-23.58009088,-46.63204979,0.0,0.0
848,SINHA PANTOJA,121.0,138.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,240.0,273.0,513.0,0.0,0.0,2,1,SIMAO DE LEMOS,SN,RUA,RECANTO SANTO ANTONIO,5816220,-23.6677645,-46.7407509,0.08494208494208494,259.0
849,JOAO BATISTA DE CARVALHO MONSENHOR,273.0,493.0,19.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,566.0,589.0,928.0,227.0,0.0,2,1,CRISTIANIA,13,,JARDIM CRIS,5834090,-23.67131967,-46.75461916,0.030026109660574413,766.0
850,CR P CONV SONHO MEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,57.0,69.0,126.0,0.0,0.0,4,1,JOAO FERNANDES CAMISA NOVA JUNIOR,366,,JARDIM SAO LUIS,5844000,-23.6522303,-46.74165794,,0.0
851,CR P CONV PRINCESA MELISSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,78.0,74.0,152.0,0.0,0.0,4,1,PROFESSORA EUNICE BECHARA DE OLIVEIRA,922,,VILA FAZZEONI,5884150,-23.66787081,-46.77476054,,0.0
852,CR P CONV CANTINHO DA RAFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,86.0,94.0,180.0,0.0,0.0,4,1,DO M BOI MIRIM,8589,,PARQUE DO LAGO,4945043,-23.71718997,-46.78374896,,0.0
853,CR P CONV ARTE DE APRENDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,89.0,173.0,0.0,0.0,4,1,LUIS DA FONSECA GALVAO,85,,PARQUE MARIA HELENA,5855300,-23.66086698,-46.76708247,,0.0
854,CR P CONV PEQUENAS TURQUESAS II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,63.0,135.0,0.0,0.0,4,1,CABAXI,17,,JARDIM LEONIDAS MOREIRA,5792000,-23.64170725,-46.77752472,,0.0
855,CR P CONV DULCE IRMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,50.0,94.0,0.0,0.0,4,1,DEOCLECIANO DE OLIVEIRA FILHO,1094,,PARQUE SANTO ANTONIO,5834000,-23.67290987,-46.75871347,,0.0
856,CR P CONV HENRI WALLON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,139.0,150.0,289.0,0.0,0.0,4,1,DANIEL AUBER,57,LT 9 21 2 E 23 QD2,JARDIM IRACEMA,5847470,-23.65651417,-46.74889642,,0.0
857,CR P CONV SERGIO LESSA DA FONSECA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,86.0,169.0,0.0,0.0,4,1,ITATINGUI,6,,JARDIM GUAIANAZES,8431730,-23.53244138,-46.41515158,,0.0
858,ESCOLA REINO DO SABER,0.0,0.0,4.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,17.0,17.0,34.0,0.0,0.0,4,1,DINA SFAT,125,,JARDIM GUANHEMBU,4814565,-23.72435197,-46.6813024,0.0,0.0
859,CEI INDIR CONJUNTO HABITACIONAL APOMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,80.0,156.0,0.0,0.0,4,1,EMILIO RETROSI,6310,,JARDIM MARILU,8371360,-23.59489769,-46.42570932,,0.0
860,CEI INDIR CONJUNTO HABITACIONAL APOMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,80.0,156.0,0.0,0.0,4,1,EMILIO RETROSI,6310,,JARDIM MARILU,8371360,-23.5965,-46.4252,,0.0
863,CEI INDIR MOOCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,84.0,149.0,0.0,0.0,4,1,JAIBARAS,360,,BELENZINHO,3163040,-23.5483,-46.5973,,0.0
865,CEI INDIR WENCESLAU GUIMARAES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120.0,113.0,233.0,0.0,0.0,4,1,WENCESLAU GUIMARAES,521,,PARQUE CISPER,3823000,-23.4894,-46.4933,,0.0
867,CEI INDIR TATUAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,129.0,125.0,254.0,0.0,0.0,4,1,CRISTAIS,160,,TATUAPE,3065040,-23.5397,-46.5778,,0.0
869,CEI INDIR RIO CLARO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,55.0,97.0,152.0,0.0,0.0,4,1,DOM BENITO FEIJO,42,,CONJUNTO PROMORAR RIO CLARO,8395090,-23.6234,-46.4558,,0.0
871,CEI INDIR JARDIM PRIMAVERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,59.0,89.0,148.0,0.0,0.0,4,1,CHIQUINHA GONZAGA,340,,VILA PRIMAVERA,3389050,-23.5908,-46.5269,,0.0
874,CEI INDIR ANA MARIA NACINOVIC CORREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,66.0,138.0,0.0,0.0,4,1,RUFINO FERNANDES INIVARRI,400,,CONJUNTO HABITACIONAL BARREIRA GRANDE,3907020,-23.58571083,-46.50543922,,0.0
875,CR P CONV ANA ELISABETH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,35.0,93.0,0.0,0.0,4,1,BARROS PENTEADO,477,,JARDIM ROSELI,8380012,-23.59827188,-46.44038181,0.0,0.0
876,CR P CONV MARANATA II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,64.0,119.0,0.0,0.0,4,1,PEDRO DA LOMBA,139,,PARQUE SAO RAFAEL,8311210,-23.63064577,-46.46721217,,0.0
877,CR P CONV MARIA FLOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,37.0,84.0,0.0,0.0,4,1,MARGARIDA CARDOSO DOS SANTOS,416,,CIDADE SAO MATEUS,3961010,-23.60209983,-46.48360824,,0.0
878,CR P CONV AFAMA BABY,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,51.0,93.0,0.0,0.0,4,1,VITAUTAS LOSINSKAS,128,,JARDIM ANA ROSA,3287090,-23.59336151,-46.53095762,0.0,0.0
879,CR P CONV BENJAMIM I,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,41.0,82.0,0.0,0.0,4,1,ANGELO SANTESSO,109,,JARDIM SAO JOSE SAO MATEUS,3931040,-23.58289445,-46.49405023,0.0,0.0
880,CR P CONV FILHOS DE BETEL II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,47.0,98.0,0.0,0.0,4,1,ELISIO FERREIRA,339,365,CIDADE SAO MATEUS,3964010,-23.60866667,-46.47675167,,0.0
881,CR P CONV ESPACO KAIROS IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,64.0,107.0,0.0,0.0,4,1,LUIS CARLOS PEIXOTO,377,,JARDIM ETELVINA,8430410,-23.52700667,-46.41904833,,0.0
882,CEMEI CARMELO CALI,0.0,0.0,0.0,7.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,243.0,291.0,534.0,0.0,0.0,3,1,CARMELO CALI,220,,VILA SANTA LUCIA,4940070,-23.69116191,-46.76575674,0.0,0.0
883,CR P CONV ESPACO DA LOTUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,121.0,158.0,279.0,0.0,0.0,4,1,JEAN BORMAN,27,,PARQUE BRISTOL,4193200,-23.64919274,-46.61275247,,0.0
884,CR P CONV ROSEIRA I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,29.0,63.0,0.0,0.0,4,1,JOAO BATISTA DANCLA,54,,CONJUNTO HABITACIONAL BARRO BRANCO II,8473570,-23.5850535,-46.39564027,,0.0
885,CR P CONV BOM E SER CRIANCA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,37.0,29.0,66.0,0.0,0.0,4,1,ALVORADA DE MINAS,38,,PARQUE GUAIANAZES,8431570,-23.5289596,-46.41468449,,0.0
886,CR P CONV MONTE CARMELO IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,76.0,146.0,0.0,0.0,4,1,MANGERICAO,168,,JARDIM ELIANE,3575090,-23.55708667,-46.50461667,,0.0
887,CR P CONV AIDA MATUCK DOMINGUEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,52.0,96.0,0.0,0.0,4,1,AUGUSTO PIACENTINI,136,142,JARDIM INDEPENDENCIA,3223190,-23.58929268,-46.55763532,,0.0
888,ESSA EDUCACAO PROFISSIONAL,0.0,3.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,437.0,134.0,366.0,205.0,0.0,4,1,KEN SUGAYA,395,,ITAQUERA,8210100,-23.54042048,-46.4529638,5.0,3.0
889,CR P CONV JEOVA RAFA II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,104.0,198.0,0.0,0.0,4,1,PEDRO MEDEIROS,25,,JARDIM VILA CARRAO,8340510,-23.6155304,-46.44792457,,0.0
890,CR P CONV ARCO IRIS ENCANTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,52.0,121.0,0.0,0.0,4,1,BERNARDO ANTUNES ROLIM,1089,,JARDIM DA LARANJEIRA ZONA LESTE,8381010,-23.60591262,-46.43096689,,0.0
891,CR P CONV BOM JESUS,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,43.0,102.0,0.0,0.0,4,1,MONSENHOR MELO E SOUSA,144,ANTIGO 22,JARDIM PERI,2634010,-23.45977179,-46.6512625,0.0,0.0
892,CR P CONV CANDIDO PORTINARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,67.0,124.0,0.0,0.0,4,1,GENERAL ISIDORO DIAS LOPES,208,,VILA AMALIA ZONA NORTE,2618290,-23.46787085,-46.64714145,,0.0
893,CR P CONV MARIO QUINTANA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,140.0,144.0,284.0,0.0,0.0,4,1,ADEN,72,,JARDIM CLIPER,4827160,-23.72137301,-46.70521576,0.0,0.0
894,CR P CONV OLHAR DE CRIANCA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,64.0,111.0,0.0,0.0,4,1,PARADA PINTO,653,,VILA NOVA CACHOEIRINHA,2611003,-23.46889309,-46.66392829,0.0,0.0
895,CR P CONV QUINTAL DO BRINCAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,60.0,113.0,0.0,0.0,4,1,AFONSO FURTADO DE CASTRO,192,,JARDIM SANTO ANDRE,8390140,-23.62621491,-46.4446327,,0.0
896,CR P CONV MATERNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,72.0,145.0,0.0,0.0,4,1,JOSE DE OLIVEIRA CHINA,60,70,JARDIM DONA SINHA,3924100,-23.59886799,-46.51213463,,0.0
897,ESC PART BRINCARTE B R I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,53.0,108.0,0.0,0.0,4,1,PEIXOTO GOMIDE,1596,,JARDIM PAULISTA,1409002,-23.56605615,-46.66221603,,0.0
898,COLEGIO PETER PAN,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,63.0,61.0,124.0,0.0,0.0,4,1,CIPRIANO BARATA,2271/2269,,IPIRANGA,4205002,-23.58977833,-46.605175,2.0,1.0
899,CEMEI JARDIM DAS PALMAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,126.0,165.0,291.0,0.0,0.0,3,1,DOS MIRANDAS,240,,JARDIM MARIA DUARTE,5752001,-23.61675,-46.754015,,0.0
900,CR P CONV PEQUENAS TURQUESAS III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,83.0,99.0,182.0,0.0,0.0,4,1,FRANCISCO,60,,JARDIM BOM PASTOR,5884130,-23.67245445,-46.77472659,,0.0
901,CR P CONV CASTILHO II,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,125.0,113.0,238.0,0.0,0.0,4,1,RENE CASTERA,333,,CHACARA DA ENSEADA,4963160,-23.748525,-46.77686733,0.0,0.0
902,CR P CONV FAZENDA PEDRO E MARIA V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,135.0,177.0,312.0,0.0,0.0,4,1,SILVEIRA SAMPAIO,190,,FAZENDA MORUMBI,5656010,-23.61337038,-46.72046608,,0.0
903,CR P CONV DULCE MARINHO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,156.0,167.0,323.0,0.0,0.0,4,1,DOUTOR FLAVIO AMERICO MAURANO,220,,FAZENDA MORUMBI,5656020,-23.61311994,-46.71589454,0.0,0.0
904,CR P CONV DIVINA GRACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,165.0,154.0,319.0,0.0,0.0,4,1,CAVERA,805,,JARDIM UMARIZAL,5756270,-23.62333737,-46.74981877,,0.0
905,CR P CONV JEOVA NISSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,63.0,130.0,0.0,0.0,4,1,FREI RUPERTO DE JESUS,123,127 133 137 141,JARDIM ANGELA ZONA LESTE,3985050,-23.60511412,-46.51481736,,0.0
906,CR P CONV CAMINHAR VIII,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,48.0,51.0,99.0,0.0,0.0,4,1,SALGUEIRO DO CAMPO,319,,JARDIM IBIRAPUERA,5814210,-23.65928995,-46.7333318,0.0,0.0
907,CR P CONV BETEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,124.0,152.0,276.0,0.0,0.0,4,1,SALVADOR MOTA,101,109,VILA INDUSTRIAL,3251180,-23.60565096,-46.53718069,,0.0
908,CR P CONV BETEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,124.0,152.0,276.0,0.0,0.0,4,1,SALVADOR MOTA,101,109,VILA INDUSTRIAL,3251180,-23.486,-46.6913,,0.0
909,CR P CONV BETEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.0,44.0,69.0,0.0,0.0,4,1,CANDIDA FRANCO DE BARROS,79,,ITABERABA,2737070,-23.60565096,-46.53718069,,0.0
910,CR P CONV BETEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.0,44.0,69.0,0.0,0.0,4,1,CANDIDA FRANCO DE BARROS,79,,ITABERABA,2737070,-23.486,-46.6913,,0.0
911,CR P CONV CANTINHO IRMAOS NATALI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,95.0,179.0,0.0,0.0,4,1,TREZE DE MAIO,1413,,BELA VISTA,1327905,-23.56551614,-46.64451409,,0.0
912,CR P CONV EVA FURNARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,87.0,149.0,0.0,0.0,4,1,DO GUACA,896,900 LT 2,LAUZANE PAULISTA,2435001,-23.5677,-46.7658,,0.0
913,CR P CONV EVA FURNARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,84.0,93.0,177.0,0.0,0.0,4,1,RUI AMARAL LEMOS,553,,VILA DALVA,5388070,-23.5677,-46.7658,,0.0
